Prov;Tahun;IPM;KMSK;PENGRN;PE;JLMSK;JLPGGRN;PAD;TOTPEN;BLEKON;BLKES;BLPEDD;RSMAND
Sulawesi Utara;2013;69,5;8,5;6,8;6,4;200,2;70315,0;790,3;2062,1;2477,2;1729,4;3968,1;0,4
Sulawesi Utara;2014;70,0;8,3;7,5;6,3;197,6;79996,0;937,7;2320,8;2941,5;1850,7;1092,1;0,4
Sulawesi Utara;2015;70,4;9,0;9,0;6,1;217,2;99240,0;1013,0;2528,0;3170,7;2158,4;5290,2;0,4
Sulawesi Utara;2016;71,1;8,2;6,2;6,2;200,4;73157,0;981,0;2885,2;470,7;757,0;328,5;0,3
Sulawesi Utara;2017;71,7;7,9;7,2;6,3;194,9;80483,0;1146,7;3731,9;3302,5;2482,2;13178,7;0,3
Sulawesi Utara;2018;72,2;7,6;6,6;6,0;189,1;78891,0;1253,8;3779,8;3278,6;2792,1;12990,0;0,3
Sulawesi Utara;2019;73,0;7,5;6,0;5,7;188,6;73413,0;1286,1;3940,2;3566,4;5298,7;14295,6;0,3
Sulawesi Utara;2020;72,9;7,8;7,4;-1,0;195,9;90248,0;1125,3;3691,0;2353,3;7056,8;14913,4;0,3
Sulawesi Utara;2021;73,3;7,4;7,1;4,2;186,6;85540,0;1310,5;3958,0;8857,3;5534,9;14171,1;0,3
Sulawesi Utara;2022;73,8;7,3;6,6;5,4;187,3;82123,0;1464,7;3726,6;5558,8;5487,6;10735,6;0,4
Sulawesi Utara;2023;74,4;7,4;6,1;5,5;189,0;81201,0;1460,7;3538,2;7166,6;7276,7;12575,3;0,4
Sulawesi Tengah;2013;65,8;14,3;4,2;9,6;400,1;54210,0;662,2;2132,9;3814,4;2330,3;4522,9;0,3
Sulawesi Tengah;2014;66,4;13,6;3,7;5,1;387,1;49389,0;824,6;2440,2;4348,6;2656,7;5156,4;0,3
Sulawesi Tengah;2015;66,8;14,1;4,1;15,5;406,3;56817,0;904,9;2901,6;4812,2;3316,3;6562,1;0,3
Sulawesi Tengah;2016;67,5;14,1;3,3;9,9;413,2;49702,0;939,1;3175,7;6186,2;3291,9;1904,6;0,3
Sulawesi Tengah;2017;68,1;14,2;3,8;7,1;423,3;54369,0;958,2;3638,3;4604,1;3819,5;12868,4;0,3
Sulawesi Tengah;2018;68,9;13,7;3,4;20,6;413,5;51584,0;1016,6;3881,2;5318,4;4241,5;12439,4;0,3
Sulawesi Tengah;2019;69,5;13,2;3,1;8,8;404,0;46993,0;1090,9;4128,2;5573,5;5037,8;13926,3;0,3
Sulawesi Tengah;2020;69,6;13,1;3,8;4,9;403,7;59381,0;1122,7;4193,3;4341,0;5236,4;16771,0;0,3
Sulawesi Tengah;2021;69,8;12,2;3,8;11,7;381,2;59371,0;1494,3;4695,7;8418,8;5192,3;15764,5;0,3
